positive,negative,neutral,other,class,class_name
0.9697129726409912,0.001409208751283586,0.020028384402394295,0.008849387057125568,1,positive
0.951010525226593,0.0024864464066922665,0.028966007754206657,0.017536966130137444,1,positive
0.9654152393341064,0.0013441069750115275,0.0242343507707119,0.009006313048303127,1,positive
0.9545891880989075,0.0020549797918647528,0.02725166082382202,0.01610422320663929,1,positive
0.9501425623893738,0.002058466663584113,0.034616515040397644,0.013182392343878746,1,positive
0.9693832993507385,0.0016013238346204162,0.019205886870622635,0.009809461422264576,1,positive
0.920617401599884,0.004480509087443352,0.018896084278821945,0.056005995720624924,1,positive
0.9684190154075623,0.0014095344813540578,0.019419638440012932,0.010751808993518353,1,positive
0.9574289917945862,0.002433234825730324,0.019424883648753166,0.020712943747639656,1,positive
0.9135190844535828,0.005143290385603905,0.018503617495298386,0.06283412128686905,1,positive
0.8189429640769958,0.0038290272932499647,0.1619318574666977,0.015296143479645252,1,positive
0.9584933519363403,0.0021353422198444605,0.021668389439582825,0.017702996730804443,1,positive
0.9484444260597229,0.0025641415268182755,0.03448755294084549,0.014503858983516693,1,positive
0.9660363793373108,0.0015818038955330849,0.021033883094787598,0.01134797278791666,1,positive
0.9629015922546387,0.0015078360447660089,0.024886539205908775,0.010703937150537968,1,positive
0.9708048105239868,0.0012374555226415396,0.020003382116556168,0.007954258471727371,1,positive
0.7542229294776917,0.01528784167021513,0.04341000318527222,0.18707923591136932,1,positive
0.9680448174476624,0.00121549132745713,0.023432806134223938,0.007306875195354223,1,positive
0.9700886607170105,0.0013050887500867248,0.019900519400835037,0.008705795742571354,1,positive
0.9514424204826355,0.0017803385853767395,0.036824122071266174,0.009953092783689499,1,positive
0.9142025113105774,0.005148203577846289,0.03945883736014366,0.04119040071964264,1,positive
0.9492366909980774,0.0022281825076788664,0.03327003866434097,0.015265109948813915,1,positive
0.9669020175933838,0.0018965399358421564,0.01691083423793316,0.014290614053606987,1,positive
0.9674765467643738,0.0016029151156544685,0.02090539038181305,0.010015115141868591,1,positive
0.860856294631958,0.010525575838983059,0.039934344589710236,0.0886838287115097,1,positive
0.9671707153320312,0.001494850730523467,0.0217218566685915,0.009612561203539371,1,positive
0.9011214375495911,0.0053156050853431225,0.03072519600391388,0.06283766031265259,1,positive
0.9734407067298889,0.0013593639014288783,0.0158177949488163,0.009382043965160847,1,positive
0.9477717280387878,0.002166836755350232,0.03679709881544113,0.013264353387057781,1,positive
0.9510232210159302,0.00205134111456573,0.034558821469545364,0.012366639450192451,1,positive
0.7850943207740784,0.013618070632219315,0.03498109057545662,0.16630657017230988,1,positive
0.9645789265632629,0.0013800919987261295,0.0250790286809206,0.00896191131323576,1,positive
0.9330556392669678,0.0020571916829794645,0.0536227822303772,0.011264404281973839,1,positive
0.964558482170105,0.001246898784302175,0.02418808452785015,0.010006479918956757,1,positive
0.9532518982887268,0.00187610590364784,0.030685951933264732,0.014186089858412743,1,positive
0.95478355884552,0.0015124224592000246,0.034511156380176544,0.009192814119160175,1,positive
0.34182021021842957,0.045939069241285324,0.030397260561585426,0.5818434953689575,4,other
0.8317939043045044,0.008326200768351555,0.021785475313663483,0.1380944848060608,1,positive
0.9696558117866516,0.0013757378328591585,0.019198965281248093,0.009769458323717117,1,positive
0.5471009016036987,0.026914453133940697,0.03137131407856941,0.3946133255958557,1,positive
0.9600578546524048,0.0015388554893434048,0.030468503013253212,0.007934732362627983,1,positive
0.9528428316116333,0.0022498213220387697,0.032478705048561096,0.012428710237145424,1,positive
0.6048101782798767,0.023690680041909218,0.038168005645275116,0.3333311080932617,1,positive
0.9412628412246704,0.002233604434877634,0.04142981395125389,0.015073688700795174,1,positive
0.9410544037818909,0.0026815547607839108,0.041237298399209976,0.01502674538642168,1,positive
0.9731121063232422,0.0011076952796429396,0.018346836790442467,0.007433353457599878,1,positive
0.9691590070724487,0.0014001013478264213,0.021418984979391098,0.008021957240998745,1,positive
0.9550458788871765,0.0015549622476100922,0.033080168068408966,0.01031909417361021,1,positive
0.974004864692688,0.001239067642018199,0.01654430851340294,0.008211769163608551,1,positive
0.9705789685249329,0.0014390090946108103,0.019055349752306938,0.008926596492528915,1,positive
0.8994635939598083,0.0035683594178408384,0.07551060616970062,0.021457426249980927,1,positive
0.958101749420166,0.0020072467159479856,0.0252743661403656,0.01461663655936718,1,positive
0.6727732419967651,0.007616942748427391,0.30000025033950806,0.019609622657299042,1,positive
0.9712522029876709,0.001198003301396966,0.020467983558773994,0.007081879768520594,1,positive
0.9503775238990784,0.002324927831068635,0.03272207826375961,0.01457546278834343,1,positive
0.9668416380882263,0.0011875303462147713,0.021621111780405045,0.010349706746637821,1,positive
0.9660588502883911,0.0016356483101844788,0.023251214995980263,0.009054197929799557,1,positive
0.965722918510437,0.0014683227054774761,0.022288991138339043,0.01051989197731018,1,positive
0.9282695651054382,0.0033308472484350204,0.025060445070266724,0.04333915188908577,1,positive
0.8037126064300537,0.011823011562228203,0.021714741364121437,0.16274970769882202,1,positive
0.9760903120040894,0.0010262398282065988,0.015857568010687828,0.0070258560590445995,1,positive
0.9568796753883362,0.0021111404057592154,0.025761405006051064,0.01524785440415144,1,positive
0.9707489609718323,0.0013071963330730796,0.019694285467267036,0.008249504491686821,1,positive
0.9672918915748596,0.0016290415078401566,0.018828783184289932,0.012250159867107868,1,positive
0.9462323188781738,0.0024973242543637753,0.03572455048561096,0.015545869246125221,1,positive
0.9694411158561707,0.00120591651648283,0.020419079810380936,0.008933916687965393,1,positive
0.9675455093383789,0.0014843260869383812,0.02102423831820488,0.009945925325155258,1,positive
0.9559659361839294,0.0018688106210902333,0.032297369092702866,0.009867871180176735,1,positive
0.961029589176178,0.0013226972660049796,0.028706662356853485,0.008941162377595901,1,positive
0.9637331366539001,0.0017883505206555128,0.02274090237915516,0.011737599037587643,1,positive
0.9219649434089661,0.005276339128613472,0.02447494864463806,0.04828367382287979,1,positive
0.9298279881477356,0.003955325577408075,0.020449072122573853,0.04576759412884712,1,positive
0.9696860909461975,0.0013255799422040582,0.01911187171936035,0.009876451455056667,1,positive
0.9669989943504333,0.001776275341399014,0.019698498770594597,0.011526274494826794,1,positive
0.9366811513900757,0.0021207102108746767,0.04656774550676346,0.014630360528826714,1,positive
0.9617039561271667,0.001683215843513608,0.024720579385757446,0.011892271228134632,1,positive
0.9603651165962219,0.0020261798053979874,0.02262742631137371,0.014981218613684177,1,positive
0.9593813419342041,0.0017734367866069078,0.029308965429663658,0.009536303579807281,1,positive
0.9584205150604248,0.0023856312036514282,0.017919376492500305,0.021274501457810402,1,positive
0.9648765921592712,0.0014811953296884894,0.021692724898457527,0.011949552223086357,1,positive
